town11nm,latitude,longitude
rishton,40.3617599,71.2789455
todmorden,53.7137251,-2.097753
stocksbridge,53.4824835,-1.5901625
shifnal,52.6675866,-2.3729864
twyford (wokingham),51.4788077,-0.8648088
spennymoor,54.699551,-1.601153
stubbington,50.8259273,-1.2139229
alton (east hampshire),51.1489036,-0.9757677
radlett,51.6844228,-0.317677
withernsea,53.7309927,0.0271753
neston,53.2905172,-3.063792
middlewich,53.1927371,-2.4453171
edenbridge,51.1958271,0.0639341
maryport,54.705546,-3.4909949
wymondham (south norfolk),52.5764773,1.117928
creswell,43.9179023,-123.024526
saltash,50.4086702,-4.2112226
potters bar,51.6958889,-0.1848935
pembury,51.1415015,0.323818
clevedon,51.4360625,-2.8526531
anstey,52.6731584,-1.1957966
great torrington,50.9616387,-4.139834
wroughton,51.5252185,-1.7910777
tavistock,50.5496154,-4.1446358
codsall,52.6256957,-2.1960219
cockermouth,54.6614392,-3.3590111
blandford forum,50.8652479,-2.1571169
sittingbourne,51.3397366,0.7342319
buxton (high peak),53.2593422,-1.9100768
newhaven,55.9803295,-3.1948191
hadleigh,52.0441822,0.9542292
thetford,52.4156001,0.748712
billingshurst,51.0151333,-0.4495061
annfield plain,54.8578249,-1.7374865
emsworth,40.5100684,-80.0945006
bognor regis,50.7834973,-0.6730718
tarleton,53.6690655,-2.8625843
westbury (wiltshire),51.261079,-2.1836535
strensall,54.0367761,-1.0380357
liss,51.0415389,-0.899455
towcester,52.132756,-0.9894811
totnes,50.4322816,-3.6871525
hinckley,46.0113409,-92.9443707
yarm,54.5091419,-1.3543412
princes risborough,51.7221664,-0.8337605
seaham,54.8372106,-1.3355612
hexham,54.971478,-2.1017927
scunthorpe,53.5922488,-0.6450841
belper,53.0229029,-1.4817414
littleport,52.4570345,0.3065856
freckleton,53.7556952,-2.8527226
berwick-upon-tweed,55.7692442,-2.0026472
stratford-upon-avon,52.1927803,-1.70634
wombourne,52.5385482,-2.1842453
burgess hill,50.9575365,-0.1332853
spalding,33.2591296,-84.2770865
ampthill,52.0318886,-0.4929079
barnard castle,54.5448091,-1.924642
matlock,53.1374514,-1.5544694
aveley,51.5001066,0.2561792
morpeth,55.1675437,-1.6907444
fakenham,52.829919,0.8477322
lydney,51.7259292,-2.5313485
cleator moor,54.5138663,-3.5071098
brentwood,37.9317766,-121.696026
warrington,53.4018582,-2.5680224
coleshill (north warwickshire),52.4986469,-1.706679
winsford (cheshire west and chester),53.1920711,-2.5313108
kirkby,53.4821071,-2.8886045
alcester,52.2150202,-1.8695764
desborough,52.4413539,-0.812513
biddulph,53.1164587,-2.1730905
featherstone (wakefield),53.6776918,-1.3582713
witney,51.7838848,-1.4852861
liskeard,50.4546303,-4.4644227
faversham,51.3158434,0.8911283
market harborough,52.4777114,-0.9208575
swanage,50.6086976,-1.9571971
evesham,52.0940158,-1.9483083
canvey island,51.5241769,0.6084587
great malvern,52.1109798,-2.3285836
cambourne,52.219984,-0.0700777
salisbury,51.0690613,-1.7954134
lowestoft,52.4766308,1.7537638
crewkerne,50.8842116,-2.7952478
ilkley,53.9257254,-1.824441
skegness,53.1437506,0.3428958
malmesbury,51.58447,-2.0982042
danbury,41.394817,-73.4540111
hereford,52.0553813,-2.7151735
formby,53.5563035,-3.0656565
sandbach,53.1439168,-2.3622625
edwinstowe,53.1950668,-1.064615
st ives (cornwall),50.2088461,-5.4777671
pocklington,53.9315681,-0.7761036
melton mowbray,52.7645663,-0.8868896
catterick garrison,54.3735411,-1.7208472
tonbridge,51.1955494,0.2750712
ravenshead,53.0868821,-1.1611984
castle donington,52.8411689,-1.3409476
penkridge,52.7246633,-2.1127563
boston,42.3554334,-71.060511
crowborough,51.0590028,0.1635863
king's lynn,52.7538673,0.3954774
haywards heath,50.9999616,-0.1049747
bridgwater,51.1283378,-3.0037046
gainsborough,53.3995376,-0.7758801
dover,51.1251275,1.3134228
maidstone,51.2748258,0.5231646
bath,51.3813864,-2.3596963
scarborough,54.2820009,-0.4011868
oxted,51.2566507,-0.0041977
shepton mallet,51.1909451,-2.5461298
stone (stafford),52.9033037,-2.1477653
godmanchester,52.3196134,-0.1747101
polesworth,52.6258348,-1.6107049
otford,51.3109165,0.1866708
kingsbridge,50.2848555,-3.7789738
tewkesbury,51.9937857,-2.1549574
bulford camp,51.1927372,-1.7318701
west clandon,51.2608611,-0.5103708
prestwood,51.696897,-0.7342296
barnstaple,51.0804057,-4.0600467
preesall,53.9389824,-2.9786842
melksham,51.3759342,-2.1314633
warminster,51.2150766,-2.1721664
bridport,50.733785,-2.7589005
thame,51.7482733,-0.9781805
durham,54.666667,-1.75
rowlands gill,54.9220987,-1.7503658
redcarsd,NA,NA
kidderminstersd,NA,NA
chaddertonsd,NA,NA
longbentonsd,NA,NA
watfordsd,NA,NA
stevenagesd,NA,NA
ramsbottomsd,NA,NA
holmfirthsd,NA,NA
chalfordsd,NA,NA
churchsd,NA,NA
bentleysd,NA,NA
wednesburysd,NA,NA
bursledonsd,NA,NA
hyde (tameside)sd,NA,NA
clayton-le-moorssd,NA,NA
birstallsd,NA,NA
urmstonsd,NA,NA
poyntonsd,NA,NA
yorksd,NA,NA
hindleysd,NA,NA
duffieldsd,NA,NA
innsworthsd,NA,NA
